,Id,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age,distance below 30k km,new and less used,inv_car_price,inv_car_dist,inv_car_age,inv_brand,std_invprice,std_invdistance_travelled,std_invrank,best_buy1,best_buy2
79,79,2016,Mercedes-Benz,Mercedes-Benz S-Class (W222) S 350D [2018-2020],S-Class,5700000.0,56500.0,Diesel,Dehradun,2,5.0,0,0,1.7543859649122808e-07,1.7699115044247787e-05,0.2,0.5,0.006741876039372556,0.005754201620635108,0.49375,19.15459380324004,0.0
80,80,2015,Renault,Renault Lodgy 110 PS RxL [2015-2016],Lodgy,565000.0,85400.0,Diesel,Mumbai,15,6.0,0,0,1.7699115044247788e-06,1.17096018735363e-05,0.16666666666666666,0.06666666666666667,0.10682194327516759,0.0036569428456060117,0.055,21.485295766762043,0.0
81,81,2013,Honda,Honda City 1.5 V MT,City,418000.0,98602.0,Petrol,Mumbai,7,8.0,0,0,2.3923444976076554e-06,1.0141782113953064e-05,0.125,0.14285714285714285,0.14589011150654368,0.003107962710704771,0.13214285714285715,59.91634992016878,0.0
82,82,2016,Mercedes-Benz,Mercedes-Benz CLA 200 Petrol Sport,CLA,2150000.0,28000.0,Petrol,Mumbai,2,5.0,1,0,4.6511627906976743e-07,3.571428571428572e-05,0.2,0.5,0.024924036303695905,0.012062306084974356,0.49375,148.4416689167952,0.0
83,83,2021,Hyundai,Hyundai Creta SX (O) 1.5 Diesel Automatic,Creta,2095000.0,7500.0,Diesel,Mumbai,14,0.0,1,1,4.77326968973747e-07,0.00013333333333333334,inf,0.07142857142857142,0.025690463039769774,0.046244116591738965,0.059821428571428574,71.06981737782193,71.06981737782193
84,84,2016,Jaguar,Jaguar F-Pace Prestige [2016-2017],F-Pace,3750000.0,33000.0,Diesel,Mumbai,40,5.0,0,0,2.6666666666666667e-07,3.0303030303030302e-05,0.2,0.025,0.01246797608881298,0.010167527232049488,0.012812500000000003,1.6242212321479572,0.0
85,85,2021,Hyundai,Hyundai Creta SX (O) 1.4 Turbo 7 DCT Dual Tone,Creta,2050000.0,4500.0,Petrol,Mumbai,14,0.0,1,1,4.878048780487804e-07,0.00022222222222222223,inf,0.07142857142857142,0.026348128553873067,0.07736901721578478,0.059821428571428574,121.94770569921175,121.94770569921175
86,86,2015,BMW,BMW 3 Series 320d Luxury Line,3,1825000.0,65000.0,Diesel,Mumbai,4,6.0,0,0,5.47945205479452e-07,1.5384615384615384e-05,0.16666666666666666,0.25,0.030122948422493363,0.004943767686755086,0.240625,35.83408170671964,0.0
87,87,2008,Audi,Audi Q7 3.0 TDI quattro,Q7,850000.0,84500.0,Diesel,Mumbai,10,13.0,0,0,1.176470588235294e-06,1.1834319526627219e-05,0.07692307692307693,0.1,0.06957351685336816,0.003700613371889351,0.08875000000000001,22.849990953228723,0.0
88,88,2011,Mercedes-Benz,Mercedes-Benz S-Class 350 CDI L,S-Class,1650000.0,55000.0,Diesel,Mumbai,2,10.0,0,0,6.060606060606061e-07,1.8181818181818182e-05,0.1,0.5,0.0337706699790389,0.005923222601497786,0.49375,98.76540287073573,0.0
89,89,2012,Audi,Audi Q5 2.0 TDI quattro Premium Plus,Q5,1350000.0,99000.0,Diesel,Mumbai,10,9.0,0,0,7.407407407407407e-07,1.0101010101010101e-05,0.1111111111111111,0.1,0.04222411993547775,0.0030936861811299856,0.08875000000000001,11.593250651485185,0.0
90,90,2012,Audi,Audi A8 L 3.0 TDI quattro,A8,2750000.0,25000.0,Diesel,Mumbai,10,9.0,1,0,3.6363636363636366e-07,4e-05,0.1111111111111111,0.1,0.018554460057448957,0.01356297093649085,0.08875000000000001,22.334257222004627,0.0
91,91,2011,BMW,BMW 7 Series 740Li Sedan,7,1650000.0,65000.0,Petrol,Mumbai,4,10.0,0,0,6.060606060606061e-07,1.5384615384615384e-05,0.1,0.25,0.0337706699790389,0.004943767686755086,0.240625,40.17338974746275,0.0
92,92,2012,Mercedes-Benz,Mercedes-Benz S-Class 350 CDI L,S-Class,1950000.0,71000.0,Diesel,Mumbai,2,9.0,0,0,5.128205128205128e-07,1.4084507042253522e-05,0.1111111111111111,0.5,0.02791828154765815,0.0044885280784943945,0.49375,61.87279537355043,0.0
